Date,Open,High,Low,Close,Parsed_Date,Day
01-28-2025,"21,343.30","21,626.00","21,159.50","21,581.80",2025-01-28 00:00:00,Tuesday
01-27-2025,"21,771.00","21,771.00","20,763.80","21,258.50",2025-01-27 00:00:00,Monday
01-24-2025,"22,018.50","22,078.30","21,844.00","21,911.30",2025-01-24 00:00:00,Friday
01-23-2025,"21,981.80","22,050.50","21,855.50","22,038.30",2025-01-23 00:00:00,Thursday
01-22-2025,"21,809.30","22,093.50","21,768.30","22,000.50",2025-01-22 00:00:00,Wednesday
01-21-2025,"21,687.30","21,783.50","21,369.50","21,709.50",2025-01-21 00:00:00,Tuesday
01-17-2025,"21,227.50","21,682.50","21,209.30","21,594.80",2025-01-17 00:00:00,Friday
01-16-2025,"21,389.00","21,567.30","21,172.30","21,249.80",2025-01-16 00:00:00,Thursday
01-15-2025,"20,977.00","21,452.80","20,909.00","21,400.30",2025-01-15 00:00:00,Wednesday
01-14-2025,"21,020.00","21,143.80","20,773.50","20,919.50",2025-01-14 00:00:00,Tuesday
01-13-2025,"21,027.50","21,037.00","20,694.00","20,947.30",2025-01-13 00:00:00,Monday
01-10-2025,"21,302.80","21,372.50","20,874.80","21,016.00",2025-01-10 00:00:00,Friday
01-08-2025,"21,380.80","21,448.30","21,166.30","21,360.80",2025-01-08 00:00:00,Wednesday
01-07-2025,"21,781.30","21,806.00","21,279.50","21,359.80",2025-01-07 00:00:00,Tuesday
01-06-2025,"21,532.30","21,896.80","21,478.30","21,744.50",2025-01-06 00:00:00,Monday
01-03-2025,"21,186.80","21,559.30","21,144.00","21,516.50",2025-01-03 00:00:00,Friday
01-02-2025,"21,269.00","21,490.50","20,983.80","21,167.50",2025-01-02 00:00:00,Thursday
12-31-2024,"21,390.30","21,524.80","21,182.00","21,226.50",2024-12-31 00:00:00,Tuesday
12-30-2024,"21,711.00","21,742.80","21,253.00","21,416.30",2024-12-30 00:00:00,Monday
12-27-2024,"21,990.80","22,008.00","21,498.80","21,698.50",2024-12-27 00:00:00,Friday
12-26-2024,"22,049.50","22,111.30","21,870.30","22,008.00",2024-12-26 00:00:00,Thursday
12-24-2024,"21,743.30","22,049.80","21,709.00","22,028.50",2024-12-24 00:00:00,Tuesday
12-23-2024,"21,566.00","21,776.80","21,476.80","21,753.30",2024-12-23 00:00:00,Monday
12-20-2024,"21,429.30","21,812.30","21,006.50","21,566.50",2024-12-20 00:00:00,Friday
12-19-2024,"21,499.80","21,697.80","21,345.80","21,379.00",2024-12-19 00:00:00,Thursday
12-18-2024,"22,309.30","22,387.80","21,311.00","21,501.80",2024-12-18 00:00:00,Wednesday
12-17-2024,"22,412.30","22,425.80","22,244.30","22,314.50",2024-12-17 00:00:00,Tuesday
12-16-2024,"22,062.00","22,450.00","22,050.50","22,408.00",2024-12-16 00:00:00,Monday
12-13-2024,"21,967.30","22,184.50","21,942.50","22,082.00",2024-12-13 00:00:00,Friday
12-12-2024,"22,027.00","22,042.50","21,871.80","21,918.50",2024-12-12 00:00:00,Thursday
12-11-2024,"21,436.00","21,820.00","21,405.80","21,793.50",2024-12-11 00:00:00,Wednesday
12-10-2024,"21,479.30","21,606.80","21,352.80","21,405.30",2024-12-10 00:00:00,Tuesday
12-09-2024,"21,649.00","21,706.30","21,436.00","21,483.80",2024-12-09 00:00:00,Monday
12-06-2024,"21,450.00","21,669.30","21,424.80","21,656.80",2024-12-06 00:00:00,Friday
12-05-2024,"21,513.30","21,567.30","21,437.50","21,473.30",2024-12-05 00:00:00,Thursday
12-04-2024,"21,323.00","21,548.50","21,305.80","21,536.50",2024-12-04 00:00:00,Wednesday
12-03-2024,"21,220.00","21,329.00","21,134.30","21,281.50",2024-12-03 00:00:00,Tuesday
12-02-2024,"20,995.30","21,259.80","20,940.00","21,218.00",2024-12-02 00:00:00,Monday
11-29-2024,"20,884.00","21,017.50","20,805.50","20,993.50",2024-11-29 00:00:00,Friday
11-27-2024,"20,990.80","21,019.00","20,675.00","20,813.00",2024-11-27 00:00:00,Wednesday
11-26-2024,"20,906.30","21,024.80","20,755.00","20,993.50",2024-11-26 00:00:00,Tuesday
11-25-2024,"20,935.00","21,081.00","20,780.30","20,880.30",2024-11-25 00:00:00,Monday
11-22-2024,"20,794.00","20,880.00","20,693.30","20,849.80",2024-11-22 00:00:00,Friday
11-21-2024,"20,738.00","20,905.80","20,514.30","20,829.50",2024-11-21 00:00:00,Thursday
11-20-2024,"20,762.30","20,843.30","20,477.00","20,749.00",2024-11-20 00:00:00,Wednesday
11-19-2024,"20,633.30","20,792.50","20,382.50","20,767.80",2024-11-19 00:00:00,Tuesday
11-18-2024,"20,504.00","20,724.30","20,476.00","20,633.50",2024-11-18 00:00:00,Monday
11-15-2024,"20,977.50","20,981.50","20,405.30","20,493.80",2024-11-15 00:00:00,Friday
11-14-2024,"21,167.00","21,190.30","20,950.50","21,011.80",2024-11-14 00:00:00,Thursday
11-13-2024,"21,178.00","21,268.50","21,056.50","21,159.50",2024-11-13 00:00:00,Wednesday
11-12-2024,"21,221.00","21,251.80","21,054.80","21,189.50",2024-11-12 00:00:00,Tuesday
11-11-2024,"21,249.80","21,340.80","21,098.30","21,217.80",2024-11-11 00:00:00,Monday
11-08-2024,"21,224.30","21,265.00","21,121.80","21,231.30",2024-11-08 00:00:00,Friday
11-07-2024,"20,923.50","21,253.00","20,861.50","21,224.80",2024-11-07 00:00:00,Thursday
11-06-2024,"20,360.50","20,935.30","20,323.50","20,894.00",2024-11-06 00:00:00,Wednesday
11-05-2024,"20,130.80","20,385.50","20,041.80","20,341.80",2024-11-05 00:00:00,Tuesday
11-04-2024,"20,138.00","20,248.50","20,013.00","20,086.00",2024-11-04 00:00:00,Monday
11-01-2024,"20,071.00","20,288.00","20,017.00","20,153.30",2024-11-01 00:00:00,Friday
10-31-2024,"20,482.00","20,495.80","20,008.50","20,021.80",2024-10-31 00:00:00,Thursday
10-30-2024,"20,734.00","20,788.50","20,472.50","20,534.80",2024-10-30 00:00:00,Wednesday
10-29-2024,"20,513.00","20,760.30","20,432.30","20,696.50",2024-10-29 00:00:00,Tuesday
10-28-2024,"20,525.50","20,676.50","20,486.00","20,497.00",2024-10-28 00:00:00,Monday
10-25-2024,"20,388.50","20,707.30","20,364.00","20,498.80",2024-10-25 00:00:00,Friday
10-24-2024,"20,294.30","20,428.50","20,261.80","20,380.30",2024-10-24 00:00:00,Thursday
10-23-2024,"20,521.00","20,542.50","20,079.00","20,220.50",2024-10-23 00:00:00,Wednesday
10-22-2024,"20,536.50","20,602.30","20,360.30","20,542.00",2024-10-22 00:00:00,Tuesday
10-21-2024,"20,496.30","20,554.50","20,343.80","20,519.50",2024-10-21 00:00:00,Monday
10-18-2024,"20,384.00","20,529.80","20,320.80","20,483.50",2024-10-18 00:00:00,Friday
10-17-2024,"20,328.00","20,594.80","20,276.80","20,368.00",2024-10-17 00:00:00,Thursday
